passengerId,survived_Prob_RF
1,0.11
2,1.0
3,0.73
4,1.0
5,0.1025
6,0.023071428571428573
7,0.045
8,0.23
9,0.915
10,0.715
11,0.9
12,0.785
13,0.05324999999999999
14,0.015
15,0.195
16,0.875
17,0.205
18,0.0
19,0.325
20,0.965
21,0.06725
22,0.30076587301587304
23,0.885
24,0.1675
25,0.105
26,0.68
27,0.007749999999999999
28,0.24
29,0.995
30,0.0
31,0.165
32,0.99
33,0.8575879814629818
34,0.0016666666666666666
35,0.2
36,0.155
37,0.18607085969585968
38,0.0
39,0.275
40,0.47
41,0.17
42,0.145
43,0.03611813186813186
44,0.97
45,0.945
46,0.0
47,0.015
48,0.8575879814629818
49,0.135
50,0.19
51,0.035
52,0.205
53,0.99
54,0.985
55,0.05
56,0.1675
57,0.815
58,0.07108748196248196
59,0.88
60,0.005
61,0.16583440170940167
62,0.975
63,0.515
64,0.11
65,0.23183333333333334
66,0.745
67,0.925
68,0.15333333333333335
69,0.745
70,0.07
71,0.0775
72,0.385
73,0.062
74,0.105
75,0.9309166666666667
76,0.04783333333333334
77,0.0
78,0.0
79,0.96
80,0.995
81,0.0
82,0.615
83,0.8492546481296485
84,0.0025
85,0.805
86,0.705
87,0.0375
88,0.0
89,0.41
90,0.0
91,0.06
92,0.01
93,0.48875
94,0.005
95,0.0
96,0.0
97,0.19
98,0.705
99,0.965
100,0.385
101,0.14
102,0.0
103,0.09
104,0.03325
105,0.06916666666666665
106,0.0
107,0.895
108,0.4169761904761907
109,0.0275
110,0.975
111,0.03
112,0.22375
113,0.0
114,0.135
115,0.25
116,0.035
117,0.01
118,0.0
119,0.18
120,0.075
121,0.01
122,0.0
123,0.11
124,0.99
125,0.045
126,0.7375
127,0.28840476190476183
128,0.695
129,0.935
130,0.01
131,0.0
132,0.01
133,0.14
134,0.985
135,0.0
136,0.11
137,0.925
138,0.69875
139,0.10922619047619048
140,0.16
141,0.325
142,0.92
143,0.335
144,0.085
145,0.027083333333333334
146,0.03
147,0.1938095238095238
148,0.175
149,0.05
150,0.43852976190476184
151,0.012333333333333333
152,0.985
153,0.02
154,0.065
155,0.005
156,0.1
157,0.983
158,0.12
159,0.075
160,0.01
161,0.12014285714285712
162,0.97
163,0.2939761904761905
164,0.010833333333333332
165,0.21
166,0.42
167,0.975
168,0.075
169,0.009999999999999998
170,0.6617420634920635
171,0.06
172,0.05
173,0.81
174,0.035
175,0.185
176,0.11
177,0.015
178,0.36
179,0.015
180,0.0
181,0.11
182,0.14
183,0.025
184,0.855
185,0.87
186,0.0155
187,0.905
188,0.8775
189,0.045
190,0.01
191,0.99
192,0.025833333333333333
193,0.72
194,0.965
195,0.81
196,0.97
197,0.28840476190476183
198,0.0375
199,0.8575879814629818
200,0.92
201,0.04
202,0.01
203,0.006666666666666666
204,0.005
205,0.69175
206,0.3
207,0.12
208,0.625
209,0.9804999999999999
210,0.65
211,0.105
212,0.87
213,0.005
214,0.015
215,0.07351190476190478
216,1.0
217,0.73
218,0.1775
219,1.0
220,0.075
221,0.4907499999999998
222,0.075
223,0.02
224,0.0
225,0.765
226,0.0
227,0.3729761904761905
228,0.015
229,0.0025
230,0.055
231,1.0
232,0.13033333333333333
233,0.0
234,0.67
235,0.0
236,0.225
237,0.029500000000000002
238,0.9
239,0.3729761904761905
240,0.229218253968254
241,0.295
242,0.905
243,0.105
244,0.075
245,0.02333333333333333
246,0.545
247,0.285
248,0.94
249,0.76375
250,0.015
251,0.005
252,0.16
253,0.025
254,0.0
255,0.365
256,0.71
257,1.0
258,1.0
259,1.0
260,0.94
261,0.28840476190476183
262,0.7
263,0.135
264,0.0025
265,0.8575879814629818
266,0.005
267,0.0
268,0.6999999999999998
269,0.99
270,1.0
271,0.31166666666666665
272,0.0
273,0.865
274,0.165
275,0.8575879814629818
276,0.965
277,0.15
278,0.0
279,0.005
280,0.85
281,0.01
282,0.05416666666666667
283,0.10172619047619046
284,0.3899166666666667
285,0.026999999999999996
286,0.025
287,0.785
288,0.0
289,0.43852976190476184
290,0.9627208485958484
291,0.97
292,1.0
293,0.12666666666666665
294,0.31
295,0.0
296,0.23183333333333334
297,0.1424594017094017
298,0.6
299,0.8766666666666666
300,0.965
301,0.8575879814629818
302,0.66
303,0.0
304,0.885
305,0.0
306,0.97
307,1.0
308,0.99
309,0.075
310,1.0
311,1.0
312,0.96
313,0.3
314,0.0
315,0.115
316,0.81
317,0.92
318,0.01
319,0.935
320,1.0
321,0.005
322,0.035
323,0.7
324,0.895
325,0.01
326,1.0
327,0.0
328,0.865
329,0.835
330,0.98
331,0.96
332,0.185
333,0.225
334,0.11083333333333333
335,0.98
336,0.0
337,0.36128571428571427
338,1.0
339,0.64
340,0.075
341,0.93
342,0.4
343,0.0
344,0.0
345,0.05575
346,0.92
347,0.835
348,0.695
349,0.9775
350,0.14789285714285713
351,0.0
352,0.1725
353,0.26416666666666666
354,0.1
355,0.007749999999999999
356,0.04
357,1.0
358,0.29
359,0.995
360,0.995
361,0.01
362,0.051
363,0.195
364,0.0
365,0.015
366,0.02
367,0.995
368,0.965
369,0.8575879814629818
370,0.99
371,0.81
372,0.04
373,0.3899166666666667
374,0.115
375,0.13
376,0.995
377,0.98
378,0.175
379,0.14
380,0.02716666666666667
381,1.0
382,0.88
383,0.3482222222222223
384,1.0
385,0.0
386,0.056999999999999995
387,0.445
388,0.865
389,0.0025
390,0.605
391,0.765
392,0.67
393,0.08
394,1.0
395,0.945
396,0.135
397,0.16
398,0.047
399,0.0
400,0.985
401,0.4734761904761905
402,0.055
403,0.07
404,0.01
405,0.15
406,0.015
407,0.005
408,0.97
409,0.19349999999999998
410,0.055
411,0.0
412,0.0025
413,0.97
414,0.0
415,0.7255595238095239
416,0.055
417,0.985
418,0.915
419,0.015
420,0.295
421,0.03611813186813186
422,0.025
423,0.045
424,0.195
425,0.025
426,0.005
427,0.935
428,0.955
429,0.28840476190476183
430,0.7534166666666667
431,0.6526210317460318
432,0.695
433,0.775
434,0.062
435,0.29875
436,0.715
437,0.215
438,0.825
439,0.14
440,0.15
441,0.85
442,0.0
443,0.6999999999999998
444,0.985
445,0.0
446,0.855
447,0.915
448,0.8094047619047617
449,0.95
450,0.77
451,0.065
452,0.005
453,0.20600000000000002
454,0.815
455,0.0
456,0.05738095238095238
457,0.025
458,0.99
459,0.77
460,0.28840476190476183
461,0.88
462,0.1416666666666667
463,0.03
464,0.05658333333333333
465,0.0
466,0.0025
467,0.0
468,0.07
469,0.0025
470,0.965
471,0.005
472,0.024166666666666666
473,0.8
474,0.715
475,0.245
476,0.04799999999999999
477,0.015
478,0.03
479,0.0
480,0.83
481,0.005
482,0.0
483,0.04
484,0.735
485,0.425
486,0.055
487,1.0
488,0.13
489,0.12
490,0.44
491,0.005
492,0.025
493,0.41
494,0.09
495,0.0
496,0.145
497,1.0
498,0.0
499,0.325
500,0.08458333333333334
501,0.010833333333333332
502,0.9659583333333334
503,0.9419309856809857
504,0.215
505,0.98
506,0.17
507,0.905
508,0.6526210317460318
509,0.01
510,0.8908333333333333
511,0.7328214285714284
512,0.0
513,0.9654166666666666
514,1.0
515,0.06
516,0.05
517,0.955
518,0.07142857142857144
519,0.97
520,0.07313888888888888
521,1.0
522,0.0
523,0.007749999999999999
524,0.98
525,0.18607085969585968
526,0.08773809523809525
527,0.77
528,0.1501111111111111
529,0.4734761904761905
530,0.035
531,0.815
532,0.18607085969585968
533,0.2764285714285714
534,0.89
535,0.175
536,0.955
537,0.8775
538,1.0
539,0.0
540,0.98
541,0.98
542,0.055
543,0.06
544,0.705
545,0.29
546,0.0
547,0.925
548,0.6
549,0.015
550,0.2675
551,0.75
552,0.05
553,0.0874047619047619
554,0.085
555,0.77
556,0.025
557,0.91
558,0.08083333333333333
559,0.995
560,0.495
561,0.28840476190476183
562,0.04083333333333333
563,0.0
564,0.0
565,0.055
566,0.12
567,0.02
568,0.185
569,0.18607085969585968
570,0.7034999999999999
571,0.0016666666666666666
572,0.835
573,0.9804166666666666
574,0.8575879814629818
575,0.4907499999999998
576,0.016666666666666666
577,0.995
578,0.99
579,0.27
580,0.3482222222222223
581,0.78
582,1.0
583,0.01
584,0.17
585,0.061089285714285714
586,0.95
587,0.006999999999999999
588,0.29
589,0.0
590,0.0
591,0.005
592,0.995
593,0.0
594,0.6249865412365412
595,0.105
596,0.015
597,0.955
598,0.0
599,0.007749999999999999
600,0.93
601,0.86
602,0.0
603,0.005
604,0.12666666666666665
605,0.75
606,0.0
607,0.03125
608,0.83
609,0.96
610,0.995
611,0.215
612,0.0
613,0.905
614,0.28840476190476183
615,0.1025
616,0.875
617,0.04314285714285714
618,0.125
619,0.905
620,0.045
621,0.07
622,0.76375
623,0.81
624,0.025
625,0.005
626,0.09
627,0.003333333333333333
628,0.985
629,0.005
630,0.0025
631,0.66
632,0.0
633,0.73375
634,0.0
635,0.08
636,0.985
637,0.3482222222222223
638,0.20708333333333337
639,0.125
640,0.01
641,0.01
642,0.99
643,0.06
644,0.6617420634920635
645,0.965
646,0.875
647,0.02
648,0.64
649,0.06483333333333335
650,0.885
651,0.0
652,0.965
653,0.005
654,0.995
655,0.278
656,0.05
657,0.0
658,0.255
659,0.0
660,0.315
661,0.685
662,0.005
663,0.022000000000000002
664,0.005
665,0.665
666,0.115
667,0.0
668,0.4169761904761907
669,0.11116666666666668
670,0.995
671,0.94
672,0.325
673,0.0016666666666666666
674,0.6021428571428572
675,0.0
676,0.04716666666666667
677,0.0
678,0.75
679,0.165
680,0.32
681,0.38
682,0.675
683,0.0
684,0.0
685,0.02
686,0.45
687,0.0
688,0.15291666666666662
689,0.145
690,0.99
691,0.7175
692,0.875
693,0.6617420634920635
694,0.015
695,0.025
696,0.005
697,0.12666666666666665
698,0.9819309856809856
699,0.465
700,0.0025
701,1.0
702,0.9270833333333331
703,0.19
704,0.08136904761904763
705,0.165
706,0.025
707,0.915
708,0.9641666666666667
709,0.97
710,0.745
711,0.99
712,0.6526210317460318
713,0.13
714,0.195
715,0.04291666666666666
716,0.005
717,1.0
718,0.905
719,0.012678571428571428
720,0.035
721,0.955
722,0.035
723,0.30076587301587304
724,0.03991666666666666
725,0.7423333333333333
726,0.015
727,0.295
728,0.9819309856809856
729,0.315
730,0.16
731,0.995
732,0.7075
733,0.0
734,0.0
735,0.0
736,0.0
737,0.295
738,0.685
739,0.0
740,0.0
741,0.8349999999999999
742,0.255
743,0.955
744,0.095
745,0.677
746,0.095
747,0.035
748,0.995
749,0.17
750,0.2539047619047619
751,0.925
752,0.7825
753,0.29774999999999996
754,0.0
755,0.925
756,0.9675
757,0.2679761904761904
758,0.027083333333333334
759,0.1416666666666667
760,1.0
761,0.0
762,0.005
763,0.6037213064713065
764,0.9
765,0.255
766,0.97
767,0.08
768,0.3543357475857475
769,0.13
770,0.19675
771,0.015
772,0.1
773,0.35
774,0.007749999999999999
775,0.77
776,0.0375
777,0.28840476190476183
778,0.88
779,0.00975
780,0.995
781,0.875
782,0.97
783,0.315
784,0.01
785,0.0
786,0.025
787,0.855
788,0.005
789,0.955
790,0.2475
791,0.28840476190476183
792,0.04750000000000001
793,0.11
794,0.27
795,0.015
796,0.030749999999999996
797,0.96
798,0.64
799,0.0383531746031746
800,0.735
801,0.30076587301587304
802,0.965
803,0.615
804,0.8696428571428573
805,0.02
806,0.12833333333333333
807,0.014166666666666666
808,0.305
809,0.030749999999999996
810,1.0
811,0.005
812,0.005
813,0.02541666666666667
814,0.13
815,0.145
